uniq_id,crawl_timestamp,product_name,product_rating,review_title,review_asin,review_rating,review_author,review_date,review_text,source,product_url
0356abfeb71fc1435f32d2df305a56e3,2019-04-09 02:35:01 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,One Star,B06Y14T5YW,1,Adeyemoh Mohammed,10/22/2017,Phone not powering. If I could give it a no star I would have...,Amazon,NULL
310d723f9a830689d96dd1022d6e895a,2019-04-09 02:35:01 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,a decent phone for the prime price,B06Y14T5YW,4,kyle,11/23/2017,overall after having this device for a little while it is a decent device clean video playback and great camera however the few minor issues keeping this from being a higher review the back glass is very brittle the screen is decent as for durability and great for playback my review would be a 4 star except for the fact that once i downloaded the update that was ready to be installed out of the box (i waited a month before installing so i could see what all was impacted by it) i have noticed a slight decline in battery life and complete loss of the microphone in calls unless i have speakerphone on or an external headset i will update this post if and when a new update comes around to fix that problem. finally would i recommend this phone? yes i would as long as you keep a headset as part of your daily routine or chose to not install the updates. Updated rating up to 4 stars as the December update has fixed all problems with the microphone and no longer requireing a head set to use as a phone,Amazon,NULL
35e73855056689f0eac822f150763476,2019-04-09 02:35:01 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,Five Stars,B06Y14T5YW,5,Candace T,7/23/2017,Absolutely in LOVE with this phone!,Amazon,NULL
197fcef9053f0549c932c26151224d3e,2019-04-09 02:35:01 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,Three Stars,B06Y14T5YW,3,Jenina,10/11/2017," screen protector scratches easily, and the edges do not bend enough for the curved screen. ",Amazon,NULL
c7be0650e37aeaf10adc7e0d72242438,2019-04-09 02:35:01 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,Buyer beware: this phone is too fragile,B06Y14T5YW,1,Sally Sue,9/26/2017," It's been a month and I already regret the purchase. My screen cracked from a 2 foot fall, and with a protective case on it. I've never seen a phone this fragile. ",Amazon,NULL
731cc177fae4d49e8146d64c8bf6b2bd,2019-04-09 02:35:01 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,This phone is a bad investment,B06Y14T5YW,2,shirley washington,1/30/2018,This is the worst phone you can buy a used phone samsung galaxys8 drop call and can't dail out just a headache I wish I could return it but I guess got bite the bullet,Amazon,NULL
13f1c6771f279846e0a1341f0f66003c,2019-04-09 02:35:01 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4," Good Phone, Atrocious Customer Service ",B06Y14T5YW,1,SF,11/29/2017," If Customer Service is important, STAY AWAY. The phone is great but if it needs service, don't count on Samsung to do what they promise. My phone arrived with a scratch in the Gorilla Glass. I talked to a Samsung rep who said they would for sure repair that and we arranged to have my phone sent in. They ask you to send in the charger and cable too, so I did. After a week, I received a $300 quote for the repair I was told would be no charge. By the end of the call, they agreed to fix the scratched glass. Another week went by and I received my phone completely unrepaired and missing my charger and cable. I called back and the rep I spoke to said the repair was approved but somehow it was never authorized so they just sent my phone back to me. After further discussion, they PROMISED to take care of the screen and asked me to send in my phone. I trusted their promise and sent in my phone. After two weeks, I received my phone back, again unrepaired. Another call to customer service later and they couldn't tell me whether they were simply inept or if they had just lied to me. The experience has left me sour for not only Samsung phones but for all other Samsung products as well. As far as I'm concerned, if it's a Samsung, it's not going into my house. ",Amazon,NULL
0e77c1e0c0a8a9d156cc33cd1d3a31a5,2019-04-09 02:35:01 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,One Star,B06Y14T5YW,1,Raul,1/30/2018,NULL,Amazon,NULL
c00c1984f597cdc8e93e057fe4bee8b9,2019-04-09 02:35:01 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,The Galaxy S8 in 2018: STILL A LEGENDARY PHONE,B06Y14T5YW,5,Doughmay,7/15/2018," Samsung Galaxy S8 2018 Review Introduction The Samsung Galaxy S8. A device that has ushered in a new era of design in Samsung’s mobile division. Now, Samsung’s “Best smartphone ever” is a year old. So, How does it hold up in 2018? I’m going to preface this piece by saying that I haven’t bought a flagship since 2015, with the release of the iPhone 6S in 16GB. Since 2015 smartphones have changed A LOT. Bezels in flagships have become a passé thing. And releasing a flagship with bezels in 2018 seems more of a taboo than a design flaw. Bezels in a 2018 flagship are considered unacceptable by most critics. And in some ways I can see why but we’ll talk about that later. For now let’s do a basic overview of this device. The Samsung Galaxy S8 was released in early 2017 with a QUALCOMM snapdragon 835 SOC, an Adreno 540 Graphics chip, 4 Gigabytes of RAM, and 64GB’s of storage. Compared to other 2017 flagships, these specs aren’t anything special, however one thing separates from the rest. The design of the phone. The curved back, and curved display with a marginally thin side lip, makes for a phone that molds into your hand. The glass front and back also makes the device very slippery in the hands. Which for me, isn’t a good thing. While it’s aesthetic is beautiful, I need a case on this thing to give me the grip I like. On the bottom of the device we see USB-C, a admittedly small bottom firing speaker, and surprise, a headphone jack. On the sides you’ll find a power button as well as the volume rocker and bixby button. On the top you’ll find a sim + micro sd card slot. And on the rear you’ll find a fingerprint sensor on the right of the 13 megapixel camera lens, and flash + heartrate monitor. But let’s go back to the headphone jack for a second. As I mentioned earlier my phone has been the iPhone 6S for about two years now, and headphone jacks for me are STILL a must have. My 3.5mm earpods work fine, so why replace them? I’m glad the S8 kept the headphone jack, it’s a breath of fresh air in a market where less is apparently more. And, in some respects the S8 nails what “Less is more” means. With this philosophy being most prominent in the display. The Screen The Screen of the Galaxy s8 is a beautiful Quad HD AMOLED panel with a unique 18:9 aspect ratio that takes up most of the front side of the phone, and this is a good thing. No longer do we see large bezels that do nothing for the device. In a way the display is not only more beautiful but also more utilitarian. The more screen real estate makes for a more satisfying experience in some apps, allowing one to be fully immersed in the content. While not every app is optimized for this screen ratio, a decent number of apps are, and the ones that aren’t optimized are easy to make them look nice and fill the display. The panel itself has Vivid and bright colors that aren’t as saturated as Samsung displays usually are, they are a little truer to life. The curved glass makes a return from the S7 Edge, a welcome inclusion to not only the design but the functionality. The edge tab, while not for everyone has made my experience with the device very interesting. It’s customization is awesome allowing you to choose what information to show, so your never flipping through any useless panels. The edge lighting on the display is also helpful for notifications. The Viewing angles in the display are also very good. Colors are nice and smooth in a wide variety of viewing angles, and the very bright capability of the display also helps viewing angle quite a bit to mitigate reflection from lights and the sun, so no matter what angle your viewing the display from you’ll almost always get a good clear picture from the phone. Overall, this phone has one of the best and brightest displays around, even today in 2018. So, how does Samsung utilize these features in Software? The OS The Galaxy S8 originally shipped with android 7.0 Nougat with Samsung Experience 8.0, but now Android 8.0 Oreo is available for this device and with it brings Samsung Experience 9.0 to the table. We see a return of all the features from Nougat, with some little added features in Oreo, that without much investigation could go unnoticed. But, these features are very helpful to the user experience over stock android. The Launcher is intuitive and very customizable which is something I enjoy out of the box! The setup process is very easy to get through, it felt very iPhone like, which is a very good thing. The ability to change the button layout is also a very nice touch that allows the user to change it to their liking, this feature is not available on stock android, but it is present here which is all the much appreciated! The facial unlock, while not iPhone X level Is much more intuitive than it used to be, it is also for the most part pretty fast and accurate, the software also makes it very easy to register a face. Google Assistant and Samsung Bixby is baked right into android. Google assistant is my preferred assistant just because of my previous usage history. Bixby is the new-comer to the digital assistant game. While it’s good, it’s not great. Some things it doesn’t understand yet, and overall to me it seems like a half-baked effort. But that’s not to say it isn’t getting better so my opinion might change as Samsung updates Bixby over time. Side note to Bixby, The Bixby button as mentioned in the overview is a button located under the volume rocker, it is mapped n default to launch Bixby by default, which is annoying. It can be remapped to launch something else using a third-party app, but other than that the button is quite useless in the software experience. If you are switching from iPhone to Samsung, the software may be a learning curve but once you get the hang of it, it is quite nice, although Samsung’s emoji are quite weird compared to the iPhone and some emojis don’t show up at all or are completely different than the iPhone counterpart. If you are switching from another device or android phone, the interface might be a little heavy to say than what you’re used to, so tread with caution if you love stock android. While the software brings many new features it also lacks consistent security patches. You will get a security patch every 2 – 3 months, but it’s not as consistent as I would like. Security is important to me, and I don’t like the idea that I’m not on the latest and greatest security patch, however if you can look over this, as it’s quite nitpicky than you’ll probably love the Samsung software on your phone. The Camera In 2018 smartphones have become the go-to camera for most casual smartphone users. We expect our cameras to take good pictures of us, our family, our children, our adventures in life. And to put it simply, the rear camera is AMAZING! It still does very well in 2018 against other flagships. It’s quick auto mode allows amazing shots to be taken without any input from the user. The integrated pro mode also allows the inner photographer inside stretch its legs, with ISO and shutter speed controls just to name a few being present. There are other rear camera modes that will help in certain scenarios but often auto and pro mode will be plenty for taking pictures. The rear camera will give you shots that are Instagram worthy. The front facing camera is more mediocre. It takes OK, selfies and the automatic face enhancing features can sometimes make one’s face look plastic. But once face filters have been turned off, in good lighting the front camera can produce some good selfies, not AW inspiring ones but, decent ones nether the less. Video recording is of course present, and the rear camera is optically stabilized so shooting smooth and stunning video is no problem. 4K recording is also here, but it can be shaky and isn’t as sharp as I would like for 4K. The front camera also has video but It is not stabilized so video from this selfie cam can be shaky. Also please note, if you are a heavy snapchat user, this camera does not play nice with snapchat due to the lack of optimization from snap inc. So photos look noticeably worse than what the normal camera app would take, I would highly suggest sticking with the stock camera for most picture taking needs. The Tradeoffs This phone despite all of it’s great highlight features has some flaw you want to consider. The fingerprint sensor can be hard to find due to it’s close proximity to the camera. The Speaker isn’t that loud and can easily be muffled by your hand depending on how you hold it. The phone also is very easy to drop, and Gorilla glass 5 while great, won’t always save you from an accidental drop. So always have some sort of extra grip on the device to protect it. In stressful tasks it can also get hot and drain the battery, so try not to push it too hard all the time. Overall This phone in 2018 is an amazing device still. Consider it if the S9 or note 8 are too expensive. This is as close you’ll get to a modern phone that is also fast and very sleek! Despite it being a year old, it’s age isn’t showing at all! I love it! Features not mentioned: IP 68 Water and dust resistance Wireless charging Iris scanning Samsung pay ",Amazon,NULL
74a9fd7962cc38e904623421ce84ea80,2019-04-09 02:35:01 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,Three Stars,B06Y14T5YW,3,GerryGee,8/13/2017,having trouble when the phone updates other than that the phone is interesting.,Amazon,NULL
0d972a9aa7eba89db98783bf597fc53c,2019-04-09 02:34:53 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,Wrong phone!,B06Y14T5YW,1,Jorge hernandez,10/15/2017,I purchased the unlocked version of the galaxy s8 plus. When the item arrived instead of it being the s8+ they somehow crammed a galaxy s7 edge in the galaxy s8 edge box. BUYER BEWARE!!!!!,Amazon,NULL
76da2fdb715c729da56ed138e56c2a93,2019-04-09 02:34:53 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,Excellent phone with incredible battery and it's extremely fast,B06Y14T5YW,5,Jake W,9/8/2017,Excellent phone with incredible battery and it's extremely fast. It comes without all of the carrier bloatware and you still get 90% of all the features. Worked perfectly by just inserting my Verizon sim card from previous phone without having to go into the store.,Amazon,NULL
7c973ca21e6ad0395cfc458abf4c70d7,2019-04-09 02:34:53 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,Four Stars,B06Y14T5YW,4,Devon,4/20/2018,over priced smart phone it is what it says it is.. works great,Amazon,NULL
ba8a7de8a974e41f78c443783e9d8a09,2019-04-09 02:34:53 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,One Star,B06Y14T5YW,1,kiutmiuaw,1/17/2018,It did not work.,Amazon,NULL
9131fc39f453271a576992394363e3c0,2019-04-09 02:34:53 +0000,Samsung Galaxy S8 Unlocked 64GB -  Midnight Black  [US Version],4,not unlocked!,B06Y14T5YW,1,Jacob lemus,7/6/2018,I received a locked phone when it clearly says unlocked phone in the add. According to Verizon they couldn't activate it because it was locked.,Amazon,NULL
